state,x,y
Alabama,139,-77
Alaska,-204,-170
Arizona,-203,-40
Arkansas,57,-53
California,-297,13
Colorado,-112,20
Connecticut,297,96
Delaware,275,42
Florida,220,-145
Georgia,190,-96
Hawaii,-317,-143
Idaho,-210,110
Illinois,95,20
Indiana,133,39
Iowa,38,65
Kansas,-17,5
Kentucky,149,1
Louisiana,59,-114
Maine,319,164
Maryland,288,27
Massachusetts,312,112
Michigan,148,101
Minnesota,23,135
Mississippi,94,-96
Missouri,60,-10
Montana,-141,150
Nebraska,-45,64
Nevada,-255,56
New Hampshire,302,127
New Jersey,282,65
New Mexico,-120,-60
New York,250,104
North Carolina,239,-22
North Dakota,-40,158
Ohio,176,52
Oklahoma,-8,-41
Oregon,-278,138
Pennsylvania,238,72
Rhode Island,318,94
South Carolina,218,-51
South Dakota,-35,109
Tennessee,136,-36
Texas,-38,-106
Utah,-189,34
Vermont,282,154
Virginia,234,0
Washington,-262,182
West Virginia,210,20
Wisconsin,83,113
Wyoming,-125,90
